month,day,t1,h1,t2,h2,t3,h3,t4,h4
01,01,0531,1.58,1127,1.03,1844,2.05,,
01,02,0118,0.98,0718,1.44,1207,1.16,1911,2.17
01,03,0226,0.76,0909,1.41,1243,1.26,1937,2.29
01,04,0318,0.57,1008,1.42,1317,1.31,2004,2.39
01,05,0402,0.42,1048,1.43,1350,1.33,2034,2.47
01,06,0442,0.34,1119,1.44,1425,1.32,2106,2.52
01,07,0520,0.29,1148,1.45,1501,1.30,2138,2.54
01,08,0555,0.29,1217,1.46,1538,1.28,2211,2.53
01,09,0628,0.32,1245,1.46,1616,1.26,2244,2.50
01,10,0700,0.37,1313,1.47,1656,1.26,2318,2.43
01,11,0729,0.43,1342,1.50,1739,1.27,2352,2.33
01,12,0758,0.51,1416,1.54,1827,1.29,,
01,13,0028,2.19,0828,0.61,1454,1.60,1925,1.32
01,14,0108,2.00,0900,0.72,1534,1.69,2046,1.31
01,15,0155,1.78,0935,0.85,1616,1.80,2224,1.23
01,16,0309,1.54,1015,0.99,1657,1.96,2357,1.05
01,17,0602,1.37,1101,1.12,1741,2.14,,
01,18,0128,0.79,0825,1.37,1153,1.23,1826,2.35
01,19,0235,0.52,0941,1.43,1250,1.29,1915,2.55
01,20,0332,0.28,1033,1.49,1347,1.30,2006,2.73
01,21,0423,0.10,1116,1.52,1443,1.26,2100,2.85
01,22,0511,0.01,1155,1.54,1536,1.20,2150,2.89
01,23,0555,0.00,1233,1.56,1629,1.13,2241,2.85
01,24,0637,0.07,1310,1.59,1721,1.07,2331,2.71
01,25,0716,0.20,1349,1.64,1816,1.05,,
01,26,0020,2.50,0751,0.39,1428,1.70,1916,1.06
01,27,0108,2.22,0824,0.59,1509,1.76,2028,1.09
01,28,0157,1.90,0851,0.80,1553,1.83,2150,1.09
01,29,0300,1.57,0912,1.00,1641,1.90,2323,1.01
01,30,0514,1.30,0925,1.16,1732,1.98,,
01,31,0114,0.85,1820,2.07,,,,
02,01,0229,0.65,1904,2.16,,,,
02,02,0317,0.48,1944,2.25,,,,
02,03,0355,0.37,1053,1.40,1329,1.35,2022,2.33
02,04,0429,0.30,1105,1.42,1421,1.29,2059,2.39
02,05,0501,0.27,1122,1.45,1505,1.21,2134,2.43
02,06,0531,0.28,1140,1.48,1547,1.13,2209,2.44
02,07,0559,0.32,1158,1.52,1627,1.07,2242,2.41
02,08,0624,0.38,1216,1.57,1708,1.02,2316,2.34
02,09,0646,0.46,1236,1.64,1749,0.99,2350,2.23
02,10,0707,0.55,1300,1.71,1833,0.98,,
02,11,0025,2.07,0729,0.67,1327,1.79,1924,0.99
02,12,0103,1.86,0753,0.80,1359,1.87,2027,0.99
02,13,0149,1.62,0817,0.96,1439,1.95,2151,0.94
02,14,0334,1.36,0841,1.12,1533,2.05,2325,0.83
02,15,1641,2.17,,,,,,
02,16,0116,0.63,1751,2.32,,,,
02,17,0230,0.39,0959,1.47,1234,1.40,1859,2.48
02,18,0324,0.20,1027,1.53,1349,1.31,2001,2.63
02,19,0410,0.08,1055,1.57,1449,1.16,2058,2.73
02,20,0451,0.04,1124,1.63,1543,1.00,2151,2.75
02,21,0529,0.09,1154,1.69,1634,0.86,2242,2.68
02,22,0604,0.21,1222,1.77,1724,0.77,2331,2.52
02,23,0634,0.38,1248,1.85,1815,0.74,,
02,24,0016,2.28,0658,0.58,1310,1.92,1908,0.76
02,25,0100,1.99,0716,0.77,1329,1.97,2009,0.81
02,26,0147,1.68,0732,0.96,1355,2.00,2120,0.85
02,27,0254,1.39,0743,1.12,1432,2.00,2247,0.85
02,28,1529,1.98,,,,,,
03,01,0046,0.76,1704,1.98,,,,
03,02,0206,0.60,1831,2.04,,,,
03,03,0251,0.48,1926,2.12,,,,
03,04,0327,0.40,1027,1.49,1348,1.36,2011,2.20
03,05,0358,0.36,1029,1.52,1435,1.23,2051,2.27
03,06,0427,0.35,1038,1.57,1514,1.09,2129,2.31
03,07,0453,0.38,1050,1.64,1552,0.96,2205,2.32
03,08,0517,0.43,1105,1.73,1630,0.85,2240,2.29
03,09,0537,0.51,1121,1.83,1708,0.77,2316,2.21
03,10,0555,0.59,1141,1.93,1748,0.71,2353,2.08
03,11,0615,0.70,1204,2.03,1831,0.69,,
03,12,0032,1.90,0637,0.83,1230,2.11,1920,0.68
03,13,0119,1.69,0700,0.98,1301,2.17,2020,0.70
03,14,0239,1.45,0720,1.14,1338,2.20,2139,0.69
03,15,1430,2.21,2311,0.63,,,,
03,16,1557,2.22,,,,,,
03,17,0059,0.50,1736,2.28,,,,
03,18,0209,0.34,0938,1.60,1251,1.44,1855,2.39
03,19,0259,0.23,0957,1.66,1359,1.22,2000,2.50
03,20,0341,0.20,1019,1.74,1455,0.99,2057,2.55
03,21,0417,0.23,1041,1.83,1546,0.77,2150,2.52
03,22,0450,0.34,1102,1.94,1635,0.61,2240,2.41
03,23,0518,0.48,1119,2.06,1722,0.52,2329,2.24
03,24,0540,0.65,1137,2.16,1810,0.50,,
03,25,0016,2.01,0558,0.82,1159,2.22,1859,0.52
03,26,0103,1.77,0617,0.98,1225,2.24,1954,0.59
03,27,0159,1.53,0633,1.12,1252,2.21,2057,0.66
03,28,0317,1.34,0626,1.24,1324,2.14,2212,0.70
03,29,1410,2.04,2347,0.68,,,,
03,30,1545,1.96,,,,,,
03,31,0108,0.61,1743,1.95,,,,
04,01,0200,0.54,0949,1.59,1301,1.50,1857,2.00
04,02,0238,0.50,0937,1.62,1355,1.33,1949,2.07
04,03,0310,0.48,0935,1.68,1435,1.15,2034,2.12
04,04,0338,0.50,0944,1.77,1512,0.97,2116,2.15
04,05,0402,0.55,0957,1.89,1548,0.80,2158,2.14
04,06,0423,0.62,1013,2.02,1625,0.66,2239,2.09
04,07,0444,0.70,1033,2.15,1704,0.54,2323,2.01
04,08,0506,0.80,1056,2.28,1744,0.47,,
04,09,0009,1.88,0530,0.91,1123,2.37,1829,0.44
04,10,0102,1.72,0554,1.04,1152,2.43,1922,0.44
04,11,0210,1.55,0618,1.19,1226,2.44,2025,0.46
04,12,0336,1.41,0635,1.33,1308,2.40,2139,0.49
04,13,1407,2.31,2302,0.48,,,,
04,14,1548,2.23,,,,,,
04,15,0028,0.43,0837,1.66,1135,1.55,1733,2.23
04,16,0131,0.38,0853,1.74,1259,1.33,1851,2.27
04,17,0219,0.37,0913,1.82,1400,1.06,1955,2.29
04,18,0258,0.42,0932,1.94,1454,0.81,2052,2.26
