datetime,tide_m,pair,month,day
2023-01-01 05:31:00,1.58,1,1,1
2023-01-01 11:27:00,1.03,2,1,1
2023-01-01 18:44:00,2.05,3,1,1
2023-01-02 01:18:00,0.98,1,1,2
2023-01-02 07:18:00,1.44,2,1,2
2023-01-02 12:07:00,1.16,3,1,2
2023-01-02 19:11:00,2.17,4,1,2
2023-01-03 02:26:00,0.76,1,1,3
2023-01-03 09:09:00,1.41,2,1,3
2023-01-03 12:43:00,1.26,3,1,3
2023-01-03 19:37:00,2.29,4,1,3
2023-01-04 03:18:00,0.57,1,1,4
2023-01-04 10:08:00,1.42,2,1,4
2023-01-04 13:17:00,1.31,3,1,4
2023-01-04 20:04:00,2.39,4,1,4
2023-01-05 04:02:00,0.42,1,1,5
2023-01-05 10:48:00,1.43,2,1,5
2023-01-05 13:50:00,1.33,3,1,5
2023-01-05 20:34:00,2.47,4,1,5
2023-01-06 04:42:00,0.34,1,1,6
2023-01-06 11:19:00,1.44,2,1,6
2023-01-06 14:25:00,1.32,3,1,6
2023-01-06 21:06:00,2.52,4,1,6
2023-01-07 05:20:00,0.29,1,1,7
2023-01-07 11:48:00,1.45,2,1,7
2023-01-07 15:01:00,1.3,3,1,7
2023-01-07 21:38:00,2.54,4,1,7
2023-01-08 05:55:00,0.29,1,1,8
2023-01-08 12:17:00,1.46,2,1,8
2023-01-08 15:38:00,1.28,3,1,8
2023-01-08 22:11:00,2.53,4,1,8
2023-01-09 06:28:00,0.32,1,1,9
2023-01-09 12:45:00,1.46,2,1,9
2023-01-09 16:16:00,1.26,3,1,9
2023-01-09 22:44:00,2.5,4,1,9
2023-01-10 07:00:00,0.37,1,1,10
2023-01-10 13:13:00,1.47,2,1,10
2023-01-10 16:56:00,1.26,3,1,10
2023-01-10 23:18:00,2.43,4,1,10
2023-01-11 07:29:00,0.43,1,1,11
2023-01-11 13:42:00,1.5,2,1,11
2023-01-11 17:39:00,1.27,3,1,11
2023-01-11 23:52:00,2.33,4,1,11
2023-01-12 07:58:00,0.51,1,1,12
2023-01-12 14:16:00,1.54,2,1,12
2023-01-12 18:27:00,1.29,3,1,12
2023-01-13 00:28:00,2.19,1,1,13
2023-01-13 08:28:00,0.61,2,1,13
2023-01-13 14:54:00,1.6,3,1,13
2023-01-13 19:25:00,1.32,4,1,13
2023-01-14 01:08:00,2.0,1,1,14
2023-01-14 09:00:00,0.72,2,1,14
2023-01-14 15:34:00,1.69,3,1,14
2023-01-14 20:46:00,1.31,4,1,14
2023-01-15 01:55:00,1.78,1,1,15
2023-01-15 09:35:00,0.85,2,1,15
2023-01-15 16:16:00,1.8,3,1,15
2023-01-15 22:24:00,1.23,4,1,15
2023-01-16 03:09:00,1.54,1,1,16
2023-01-16 10:15:00,0.99,2,1,16
2023-01-16 16:57:00,1.96,3,1,16
2023-01-16 23:57:00,1.05,4,1,16
2023-01-17 06:02:00,1.37,1,1,17
2023-01-17 11:01:00,1.12,2,1,17
2023-01-17 17:41:00,2.14,3,1,17
2023-01-18 01:28:00,0.79,1,1,18
2023-01-18 08:25:00,1.37,2,1,18
2023-01-18 11:53:00,1.23,3,1,18
2023-01-18 18:26:00,2.35,4,1,18
2023-01-19 02:35:00,0.52,1,1,19
2023-01-19 09:41:00,1.43,2,1,19
2023-01-19 12:50:00,1.29,3,1,19
2023-01-19 19:15:00,2.55,4,1,19
2023-01-20 03:32:00,0.28,1,1,20
2023-01-20 10:33:00,1.49,2,1,20
2023-01-20 13:47:00,1.3,3,1,20
2023-01-20 20:06:00,2.73,4,1,20
2023-01-21 04:23:00,0.1,1,1,21
2023-01-21 11:16:00,1.52,2,1,21
2023-01-21 14:43:00,1.26,3,1,21
2023-01-21 21:00:00,2.85,4,1,21
2023-01-22 05:11:00,0.01,1,1,22
2023-01-22 11:55:00,1.54,2,1,22
2023-01-22 15:36:00,1.2,3,1,22
2023-01-22 21:50:00,2.89,4,1,22
2023-01-23 05:55:00,0.0,1,1,23
2023-01-23 12:33:00,1.56,2,1,23
2023-01-23 16:29:00,1.13,3,1,23
2023-01-23 22:41:00,2.85,4,1,23
2023-01-24 06:37:00,0.07,1,1,24
2023-01-24 13:10:00,1.59,2,1,24
2023-01-24 17:21:00,1.07,3,1,24
2023-01-24 23:31:00,2.71,4,1,24
2023-01-25 07:16:00,0.2,1,1,25
2023-01-25 13:49:00,1.64,2,1,25
2023-01-25 18:16:00,1.05,3,1,25
2023-01-26 00:20:00,2.5,1,1,26
2023-01-26 07:51:00,0.39,2,1,26
2023-01-26 14:28:00,1.7,3,1,26
2023-01-26 19:16:00,1.06,4,1,26
2023-01-27 01:08:00,2.22,1,1,27
2023-01-27 08:24:00,0.59,2,1,27
2023-01-27 15:09:00,1.76,3,1,27
2023-01-27 20:28:00,1.09,4,1,27
2023-01-28 01:57:00,1.9,1,1,28
2023-01-28 08:51:00,0.8,2,1,28
2023-01-28 15:53:00,1.83,3,1,28
2023-01-28 21:50:00,1.09,4,1,28
2023-01-29 03:00:00,1.57,1,1,29
2023-01-29 09:12:00,1.0,2,1,29
2023-01-29 16:41:00,1.9,3,1,29
2023-01-29 23:23:00,1.01,4,1,29
2023-01-30 05:14:00,1.3,1,1,30
2023-01-30 09:25:00,1.16,2,1,30
2023-01-30 17:32:00,1.98,3,1,30
2023-01-31 01:14:00,0.85,1,1,31
2023-01-31 18:20:00,2.07,2,1,31
2023-02-01 02:29:00,0.65,1,2,1
2023-02-01 19:04:00,2.16,2,2,1
2023-02-02 03:17:00,0.48,1,2,2
2023-02-02 19:44:00,2.25,2,2,2
2023-02-03 03:55:00,0.37,1,2,3
2023-02-03 10:53:00,1.4,2,2,3
2023-02-03 13:29:00,1.35,3,2,3
2023-02-03 20:22:00,2.33,4,2,3
2023-02-04 04:29:00,0.3,1,2,4
2023-02-04 11:05:00,1.42,2,2,4
2023-02-04 14:21:00,1.29,3,2,4
2023-02-04 20:59:00,2.39,4,2,4
2023-02-05 05:01:00,0.27,1,2,5
2023-02-05 11:22:00,1.45,2,2,5
2023-02-05 15:05:00,1.21,3,2,5
2023-02-05 21:34:00,2.43,4,2,5
2023-02-06 05:31:00,0.28,1,2,6
2023-02-06 11:40:00,1.48,2,2,6
2023-02-06 15:47:00,1.13,3,2,6
2023-02-06 22:09:00,2.44,4,2,6
2023-02-07 05:59:00,0.32,1,2,7
2023-02-07 11:58:00,1.52,2,2,7
2023-02-07 16:27:00,1.07,3,2,7
2023-02-07 22:42:00,2.41,4,2,7
2023-02-08 06:24:00,0.38,1,2,8
2023-02-08 12:16:00,1.57,2,2,8
2023-02-08 17:08:00,1.02,3,2,8
2023-02-08 23:16:00,2.34,4,2,8
2023-02-09 06:46:00,0.46,1,2,9
2023-02-09 12:36:00,1.64,2,2,9
2023-02-09 17:49:00,0.99,3,2,9
2023-02-09 23:50:00,2.23,4,2,9
2023-02-10 07:07:00,0.55,1,2,10
2023-02-10 13:00:00,1.71,2,2,10
2023-02-10 18:33:00,0.98,3,2,10
2023-02-11 00:25:00,2.07,1,2,11
2023-02-11 07:29:00,0.67,2,2,11
2023-02-11 13:27:00,1.79,3,2,11
2023-02-11 19:24:00,0.99,4,2,11
2023-02-12 01:03:00,1.86,1,2,12
2023-02-12 07:53:00,0.8,2,2,12
2023-02-12 13:59:00,1.87,3,2,12
2023-02-12 20:27:00,0.99,4,2,12
2023-02-13 01:49:00,1.62,1,2,13
